"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Total index; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B50001.A,IP.B50001.A,23.2738,23.4306,25.3774,26.8828,28.6952,31.5604,34.3473,35.0794,37.0362,38.7544,37.4658,37.9910,41.6430,45.0581,44.9266,40.9238,44.1511,47.5274,50.1422,51.6434,50.3066,50.9677,48.3259,49.6478,54.0735,54.7358,55.2904,58.1726,61.1827,61.7368,62.3310,61.4119,63.2086,65.2849,68.7223,71.9066,75.1711,80.5740,85.3080,89.0460,92.4951,89.6767,89.9785,91.1422,93.5782,96.7144,98.9224,101.4562,97.9417,86.8092,91.6213,94.5035,97.3878,99.3462,102.3290,100.8807,98.6972,100.0000,103.1501,102.4293,95.0682,99.2450,102.6074
"Manufacturing (SIC); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B00004.A,IP.B00004.A,22.0388,22.1048,24.0660,25.5252,27.2651,30.2026,32.9657,33.5940,35.4783,37.0408,35.3863,35.9384,39.6853,43.2533,43.1660,38.6118,42.1001,45.7201,48.4937,49.9756,48.1908,48.6843,46.0306,48.2331,52.9483,53.8053,54.9870,58.1150,61.1934,61.6847,62.1767,60.9903,63.2596,65.5045,69.3786,72.9013,76.4894,82.9200,88.4746,92.9561,96.7542,93.2570,93.6967,94.9604,97.9251,101.9422,104.5618,107.4705,102.3250,88.2553,93.5011,96.2308,98.7231,99.6193,100.7647,100.2275,99.4458,100.0000,101.2863,99.2898,92.7609,97.3565,100.0072
"Manufacturing (NAICS); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.GMF.A,IP.GMF.A,,,,,,,,,,,,,37.3820,40.8240,40.7313,36.3550,39.7196,43.1209,45.7782,47.1933,45.3897,45.8314,43.2165,45.3202,49.8566,50.6113,51.7263,54.6678,57.7275,58.2552,58.7793,57.7257,60.0546,62.2778,66.1906,69.7246,73.3647,79.5305,84.8892,89.2937,93.1705,89.9624,90.5959,92.0438,95.0601,99.1976,101.9468,105.2406,100.4089,86.7314,92.4399,95.4232,98.1920,99.2857,100.5080,100.0768,99.3526,100.0000,101.4236,99.4929,92.9844,97.6535,100.4707
"Durable manufacturing (NAICS); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.GMFD.A,IP.GMFD.A,,,,,,,,,,,,,24.5841,27.6455,27.4517,23.8533,26.0721,28.6389,30.9038,32.3858,30.9808,31.2997,28.6002,30.0387,34.2657,35.0170,35.6187,37.7329,40.4919,40.9631,41.0925,39.8694,41.9493,44.3077,48.1188,52.0715,56.8149,63.6021,70.3150,76.3294,81.7992,78.5959,78.8593,81.0364,84.8604,89.9215,94.1868,98.9092,95.5007,77.7015,86.1751,91.4852,96.6010,98.6933,101.5379,100.4493,98.3569,100.0000,103.0592,100.1850,91.2194,96.8144,100.9563
"Wood product  (NAICS = 321); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G321.A,IP.G321.A,,,,,,,,,,,,,84.5230,81.8738,74.3340,68.5349,77.1747,83.2048,84.2699,81.2442,75.2950,73.5939,66.0886,76.5317,82.0020,82.8748,90.0265,97.9856,97.8180,96.2510,95.0905,88.9410,93.9670,95.0197,100.7389,103.2257,106.5758,109.4487,114.2692,118.4831,116.9109,109.6032,114.2769,114.0943,117.0491,124.8498,125.8689,117.7335,100.5794,76.8476,79.5841,79.7473,84.5582,89.4438,91.6376,95.2918,98.8585,100.0000,100.3813,95.6242,95.8826,99.0425,100.0643
"Nonmetallic mineral product  (NAICS = 327); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G327.A,IP.G327.A,,,,,,,,,,,,,85.6157,91.9010,90.8726,81.3682,85.8857,91.4289,97.4650,97.2906,87.7332,84.0249,74.3656,79.9470,86.3093,87.8870,91.4917,96.5429,98.5299,97.6980,96.2081,88.6013,92.4624,94.4253,99.7565,102.6877,109.3377,113.0096,118.7280,119.7914,119.8666,115.3926,115.4599,116.5362,120.0813,125.1757,127.4787,126.0876,111.4337,83.9597,86.5584,87.9666,90.2795,94.9494,98.4703,99.1567,100.5060,100.0000,100.3671,100.7927,97.3257,100.5218,108.8813
"Primary metal  (NAICS = 331); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G331.A,IP.G331.A,,,,,,,,,,,,,125.9692,146.6894,150.1914,116.4780,123.6044,125.1233,133.1613,136.1509,119.3134,119.4461,83.8685,86.2908,94.8211,87.3724,85.5094,92.3013,103.1698,100.8262,99.6449,93.5997,96.2599,100.9120,108.4739,109.6828,112.1854,116.9447,118.9345,118.7590,114.6228,103.7672,104.3106,102.3571,111.1839,108.1962,111.2453,113.5425,113.7468,84.6332,103.8349,111.4022,109.1514,112.7442,113.5116,105.6745,100.9956,100.0000,103.1842,97.3317,86.6280,96.0664,94.8814
"Fabricated metal product  (NAICS = 332); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G332.A,IP.G332.A,,,,,,,,,,,,,70.7307,78.1447,76.8083,66.3365,71.1109,77.1341,80.9226,84.5042,79.7020,79.1566,70.8965,71.4327,77.7354,78.7933,78.2607,79.7745,83.8096,83.1614,82.1867,78.4807,80.9107,83.9684,91.2739,96.8883,100.3591,104.9001,108.3004,109.1109,113.3875,105.2169,102.9210,101.7521,102.2099,106.9511,112.8124,117.6323,113.3605,87.2186,92.8792,99.4101,102.4136,104.2244,106.1410,102.5879,98.8282,100.0000,104.5092,102.3787,93.1322,96.7347,100.0777
"Machinery  (NAICS = 333); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G333.A,IP.G333.A,,,,,,,,,,,,,63.9754,73.9275,77.4879,67.4510,70.3636,76.7922,82.6816,87.2696,82.9852,82.1623,68.6855,61.9711,72.3018,72.5041,71.3621,72.8201,80.1990,83.1911,81.1712,76.1475,75.9391,81.5848,89.3602,95.6975,99.0182,104.4902,107.2949,104.9952,110.4899,97.7720,94.1873,93.7098,97.5918,103.6242,108.5396,113.1551,110.1483,85.7051,95.7154,107.7789,116.5431,111.1848,112.6725,103.7192,95.7903,100.0000,104.5789,101.5063,90.5814,97.5723,104.2439
"Computer and electronic product  (NAICS = 334); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G334.A,IP.G334.A,,,,,,,,,,,,,0.4349,0.5155,0.5712,0.5192,0.6136,0.7768,0.9561,1.1724,1.4245,1.6486,1.8562,2.1441,2.6380,2.7985,2.9074,3.3161,3.6851,3.7942,4.1324,4.3130,4.8583,5.3733,6.3351,8.1008,10.5965,14.1396,18.1785,23.9943,31.1159,32.4638,32.0733,36.8346,43.3488,49.3449,56.3062,65.0491,70.1672,62.8453,71.7902,77.7200,84.0453,86.8175,90.5283,91.1696,93.2337,100.0000,104.5974,106.5479,105.1218,110.0023,110.7782
"Electrical equipment, appliance, and component  (NAICS = 335); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G335.A,IP.G335.A,,,,,,,,,,,,,80.3942,90.4596,88.3254,70.9689,80.0283,88.2872,93.6668,97.5216,91.7197,90.5766,81.5725,84.3271,94.9222,93.4203,95.1538,96.4156,101.1885,99.4269,96.8772,91.8471,97.3727,103.4061,110.9674,113.6774,117.0807,121.4362,125.9311,127.8747,134.3434,120.9539,111.5721,108.7735,110.6585,112.5376,113.2277,117.9602,113.2380,89.1977,92.7515,97.2956,99.5905,99.5557,101.3381,100.8596,100.6086,100.0000,101.1523,100.3006,96.3108,101.0348,103.8055
