Local Date;Close;Open;Low;High
17-août-2023;4 369,74;4 378,66;4 369,54;4 378,80
17-août-2023;4 378,69;4 369,46;4 369,46;4 378,70
17-août-2023;4 369,46;4 368,73;4 367,04;4 372,33
17-août-2023;4 368,74;4 371,79;4 368,58;4 373,97
17-août-2023;4 371,81;4 371,42;4 370,70;4 374,55
17-août-2023;4 371,48;4 374,86;4 369,64;4 376,68
17-août-2023;4 374,86;4 368,10;4 368,06;4 374,86
17-août-2023;4 368,12;4 371,23;4 366,46;4 371,91
17-août-2023;4 371,18;4 369,01;4 364,83;4 371,18
17-août-2023;4 368,94;4 372,73;4 368,61;4 372,92
17-août-2023;4 372,71;4 375,65;4 372,71;4 378,79
17-août-2023;4 375,71;4 379,33;4 375,67;4 380,93
17-août-2023;4 379,45;4 381,68;4 377,44;4 381,68
17-août-2023;4 381,75;4 384,39;4 381,38;4 385,88
17-août-2023;4 384,39;4 386,19;4 382,30;4 386,85
17-août-2023;4 386,40;4 389,63;4 386,40;4 389,72
17-août-2023;4 389,79;4 388,61;4 386,54;4 390,11
17-août-2023;4 388,65;4 391,94;4 387,52;4 392,05
17-août-2023;4 391,93;4 389,85;4 389,85;4 392,98
17-août-2023;4 389,81;4 389,63;4 387,58;4 390,06
17-août-2023;4 389,72;4 391,50;4 388,59;4 391,50
17-août-2023;4 391,40;4 393,43;4 391,08;4 393,67
17-août-2023;4 393,41;4 392,38;4 390,33;4 393,94
17-août-2023;4 392,41;4 394,97;4 392,41;4 395,40
17-août-2023;4 394,99;4 395,28;4 393,75;4 395,58
17-août-2023;4 395,29;4 393,05;4 393,05;4 395,87
17-août-2023;4 393,03;4 393,67;4 392,69;4 394,32
17-août-2023;4 393,72;4 398,24;4 392,24;4 398,67
17-août-2023;4 398,28;4 397,60;4 397,30;4 399,25
17-août-2023;4 397,58;4 400,03;4 397,29;4 400,03
17-août-2023;4 399,97;4 401,06;4 399,17;4 401,72
17-août-2023;4 401,08;4 405,49;4 401,08;4 405,51
17-août-2023;4 405,45;4 406,86;4 405,41;4 408,48
17-août-2023;4 406,79;4 407,49;4 405,94;4 407,49
17-août-2023;4 407,49;4 409,36;4 407,49;4 409,94
17-août-2023;4 409,36;4 411,89;4 409,35;4 412,70
17-août-2023;4 411,89;4 410,52;4 409,99;4 411,89
17-août-2023;4 410,49;4 406,92;4 406,76;4 410,55
17-août-2023;4 406,91;4 406,82;4 404,67;4 407,24
