date,spx,dhoust,year_month.x,ip,year_month.y,nai,year_month,nfci,year_week,Rvol22,vix,vrp
1990-01-02,1.7642012022569098,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.04519,1990-01-01,0.5872571970433186,1.0860179191131794,0.4987607220698608
1990-01-03,-0.25888858066460685,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.04519,1990-01-01,0.5684638998190507,1.1458623570003859,0.5773984571813352
1990-01-04,-0.8650297911901639,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.04519,1990-01-01,0.521809256663046,1.2107461322121458,0.6889368755490998
1990-01-05,-0.9804141078032735,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.04519,1990-01-01,0.5632562939879706,1.2668109883633387,0.7035546943753681
1990-01-08,0.4504312075152228,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.05994,1990-01-08,0.5600869306563366,1.2762600371944905,0.7161731065381539
1990-01-09,-1.1856706127010952,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.05994,1990-01-08,0.6200299389586181,1.3984686131282196,0.7784386741696014
1990-01-10,-0.6629088954594131,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.05994,1990-01-08,0.6365472160552236,1.4135871920485885,0.7770399759933649
1990-01-11,0.35065597130081727,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.05994,1990-01-08,0.637598333019309,1.2630312176450886,0.6254328846257796
1990-01-12,-2.498461337210056,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.05994,1990-01-08,0.9212764453934597,1.5521740394971475,0.6308975941036878
1990-01-15,-0.8656763115748589,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.07267,1990-01-15,0.918082739965655,1.6592640365105074,0.7411812965448523
1990-01-16,1.1066140224280652,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.07267,1990-01-15,0.9699346690718728,1.5231968262271856,0.5532621571553128
1990-01-17,-0.9879918247821529,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.07267,1990-01-15,1.0021412776297074,1.5219369446504882,0.5197956670207808
1990-01-18,0.2338721309564029,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.07267,1990-01-15,1.0023188875190685,1.533275878840765,0.5309569913216965
1990-01-19,0.2834596062416317,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.07267,1990-01-15,0.8488345338144985,1.417366773784602,0.5685322399701036
1990-01-22,-2.6198947439718623,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.08144,1990-01-22,1.1549848852872204,1.68194196788514,0.5269570825979195
1990-01-23,0.37160121269304014,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.08144,1990-01-22,1.1607025330231138,1.5572135658039374,0.39651103278082367
1990-01-24,-0.407928107399691,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.08144,1990-01-22,1.1537937833113443,1.5994195986233009,0.44562581531195655
1990-01-25,-1.2737543147173902,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.08144,1990-01-22,1.2010936384550621,1.6145381775436702,0.4134445390886081
1990-01-26,-0.08590508313108813,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.08144,1990-01-22,1.2000252574119001,1.655484454774494,0.4554591973625939
1990-01-29,-0.18432447615071013,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.08289,1990-01-29,1.1865397165728526,1.6655635073880732,0.4790237908152206
1990-01-30,-0.6849978715266936,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.08289,1990-01-29,1.1950115262621503,1.7165886482502402,0.5215771219880898
1990-01-31,1.8710406937899826,21.49566527096276,1990-01-01,-0.5169600736957491,1990-01-01,-0.5169600736957491,1990-01-01,0.08289,1990-01-29,1.3268028548174255,1.5975299022464124,0.2707270474289869
1990-02-01,-0.0881566329344885,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.08289,1990-01-29,1.1856831143576807,1.5666628036173256,0.38097968925964487
1990-02-02,0.6457417139088761,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.08289,1990-01-29,1.2015903445342007,1.5320159972640677,0.330425652729867
1990-02-05,0.28063840659910966,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.07737,1990-02-05,1.171157679789291,1.5458747576018181,0.37471707781252706
1990-02-06,-0.6621245235468365,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.07737,1990-02-05,1.1473939098757655,1.5553238694270488,0.4079299595512833
1990-02-07,1.2330377277535831,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.07737,1990-02-05,1.2072799901194065,1.5301262378931004,0.322846247773694
1990-02-08,-0.23698740994095857,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.07737,1990-02-05,1.145932182421567,1.4973692539048884,0.3514370714833215
1990-02-09,0.19802701237487952,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.07737,1990-02-05,1.127739750328426,1.4923297905921775,0.3645900402637514
1990-02-12,-1.0667595800248897,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.06692,1990-02-12,1.1738768590268789,1.5357955790000812,0.36191871997320235
1990-02-13,0.28437533432237316,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.06692,1990-02-12,0.8938114170831288,1.4967393131165398,0.602927896033411
1990-02-14,0.29863557826042,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.06692,1990-02-12,0.8638017685459054,1.3890193753148312,0.5252176067689258
1990-02-15,0.8637045421198586,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.06692,1990-02-12,0.8420468113388168,1.2416132308412324,0.39956641950241567
1990-02-16,-0.6500866045390019,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.06692,1990-02-12,0.8168870271372114,1.3090170211827024,0.49212999404549096
1990-02-20,-1.4318208814417588,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.05509,1990-02-19,0.907587702723328,1.4350051788524447,0.5274174761291167
1990-02-21,-0.09760455844149973,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.05509,1990-02-19,0.9043684891532325,1.5049284803709941,0.6005599912177616
1990-02-22,-0.6030294915444934,-7.634227709751418,1990-02-01,0.9152716839976094,1990-02-01,0.9152716839976094,1990-02-01,0.05509,1990-02-19,0.608904675434188,1.4198865999320758,0.8109819244978878
